metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Size.class	seq26	.L	-0.0016790176895106	0.00085220626801638	30	16	0.0615302450323323	0.500239528947464
Sex	seq29	M	0.00204082543314563	0.00115167787563439	30	14	0.0924796613741301	0.500239528947464
Size.class	seq29	.L	-0.00203348321905472	0.000871739691294535	30	14	0.0694054059683882	0.500239528947464
Sex	seq32	M	-0.015811287601672	0.00819253684419615	30	15	0.0666049335413893	0.500239528947464
Size.class	seq32	.Q	-0.00925377168794827	0.00513288160618883	30	15	0.0851296223482063	0.500239528947464
Cestode.index	seq36	.Q	0.00713812681178504	0.0039779937272182	30	7	0.0865038156552837	0.500239528947464
Sex	seq41	M	-0.0121470453694251	0.00537642907250273	30	10	0.0341104947599007	0.500239528947464
Size.class	seq41	.Q	-0.00648563928220196	0.00336850165193684	30	10	0.0672058504494201	0.500239528947464
Size.class	seq43	.Q	-0.00392787610862899	0.00195675132448755	30	7	0.0571526033832255	0.500239528947464
Cestode.index	seq44	.C	0.0035872415376992	0.0019434858198697	30	4	0.078425785699364	0.500239528947464
Sex	seq52	M	-0.00641493797975568	0.00333101259262807	30	7	0.0671474282708671	0.500239528947464
Sex	seq56	M	-0.00604460478134011	0.00284389079134755	30	9	0.0450163296171113	0.500239528947464
Size.class	seq56	.Q	-0.00342170960830632	0.00178178688854587	30	9	0.0678663176074715	0.500239528947464
Cestode.index	seq64	.L	0.00117414629457152	0.000591502460898902	30	4	0.059748936922615	0.500239528947464
Sex	seq66	M	-0.00440687004996563	0.00185954946760442	30	5	0.0269855264813427	0.500239528947464
Size.class	seq66	.Q	-0.0023125976734049	0.00116506613758189	30	5	0.0597576940968131	0.500239528947464
Sex	seq69	M	-0.00479878001970251	0.00268691814278944	30	4	0.0878949191945885	0.500239528947464
Sex	seq74	M	-0.003871015067593	0.00201523863125196	30	5	0.0678011906790874	0.500239528947464
Cestode.index	seq75	.Q	-0.00415255331343341	0.00230698547255164	30	4	0.0855917145584455	0.500239528947464
Sex	seq75	M	-0.00524069754738248	0.0023780914544415	30	4	0.0383078864725693	0.500239528947464
Size.class	seq75	.Q	-0.00291631188187545	0.00148994897630336	30	4	0.0631158274177821	0.500239528947464
Size.class	seq16	.Q	-0.0120004655039161	0.00698316303525822	30	14	0.0997511726999559	0.519634015925352
Cestode.index	seq6	.Q	0.120745248705789	0.0810237392849225	30	24	0.150358383841492	0.557750209485446
Feed.Type	seq16	EWOS	0.0145980279173138	0.00983421505477365	30	14	0.15188733383309	0.557750209485446
Cestode.index	seq25	.Q	-0.0248542468989215	0.016428757343923	30	6	0.14455157996001	0.557750209485446
Cestode.index	seq32	.C	-0.00884978836550951	0.00589714198246864	30	15	0.147651801807706	0.557750209485446
Cestode.index	seq41	.C	-0.00589444002648801	0.00387005468540334	30	10	0.141982324766773	0.557750209485446
Sex	seq44	M	-0.00402291823167479	0.00269996537861719	30	4	0.150425351727662	0.557750209485446
Size.class	seq44	.Q	0.00257487525476056	0.00169161309772671	30	4	0.14221851975691	0.557750209485446
Sex	seq49	M	0.00287212659168996	0.00191798808657797	30	4	0.151299984587568	0.557750209485446
Size.class	seq52	.Q	-0.00341644634922603	0.0020869839943163	30	7	0.115851295185937	0.557750209485446
Cestode.index	seq56	.Q	-0.00411625790369625	0.00275885720412843	30	9	0.149896872176285	0.557750209485446
Cestode.index	seq56	.C	-0.00322523929310454	0.00204708603673752	30	9	0.129406947821409	0.557750209485446
Cestode.index	seq66	.Q	-0.00289109546547898	0.00180394811950663	30	5	0.123274090499287	0.557750209485446
Cestode.index	seq66	.C	-0.00199138189120244	0.00133853865322021	30	5	0.151016567507613	0.557750209485446
Cestode.index	seq69	.Q	-0.00421098190257189	0.00260657810689894	30	4	0.120449385257513	0.557750209485446
Size.class	seq69	.Q	-0.00267995894838436	0.00168343859475339	30	4	0.125662582172479	0.557750209485446
Cestode.index	seq74	.Q	-0.0029810492334357	0.00195498210858967	30	5	0.141545076100016	0.557750209485446
Cestode.index	seq74	.C	-0.0021631259486873	0.00145060663907391	30	5	0.150112707020402	0.557750209485446
Sex	seq86	M	-0.00244066188473889	0.00157740805283896	30	4	0.136065924965356	0.557750209485446
Sex	seq26	M	0.00168172835524814	0.00114965647061248	30	16	0.15766014293127	0.563419607639543
Cestode.index	seq29	.C	-0.00120927053040925	0.000827397203911587	30	14	0.158956500749945	0.563419607639543
Cestode.index	seq86	.Q	-0.00221990144037035	0.00153024285730848	30	4	0.160977030754155	0.563419607639543
Feed.Type	seq3	EWOS	-0.0762305194234645	0.061641072981179	30	28	0.229244353009556	0.577814701752277
Size.class	seq3	.L	-0.065197394984336	0.0517864883584517	30	28	0.221238198909746	0.577814701752277
Size.class	seq3	.Q	0.0578456159102465	0.0437706171665301	30	28	0.199893156918699	0.577814701752277
Feed.Type	seq5	EWOS	-0.0171819982752299	0.0134144356006524	30	12	0.213581916876742	0.577814701752277
Size.class	seq7	.L	0.00414719223016566	0.0029870199787106	30	10	0.178913017832523	0.577814701752277
Cestode.index	seq8	.C	0.0877576961933908	0.0690222424552562	30	13	0.216850050453005	0.577814701752277
Size.class	seq8	.L	0.0916126477394745	0.0710791981863353	30	13	0.210828139365179	0.577814701752277
Cestode.index	seq14	.Q	-0.0170286818407383	0.0123071528064783	30	17	0.180347920094438	0.577814701752277
Cestode.index	seq14	.C	-0.0124292827442445	0.00913196979692753	30	17	0.187270384835649	0.577814701752277
Sex	seq16	M	0.0138781696783107	0.0111457510312341	30	14	0.226175476171937	0.577814701752277
Size.class	seq16	.L	-0.0113952799306355	0.00826201490042272	30	14	0.181682532988988	0.577814701752277
Cestode.index	seq25	.C	-0.0164753257179482	0.0121902212660254	30	6	0.190263455095913	0.577814701752277
Cestode.index	seq32	.Q	-0.0106464500685467	0.00794757638424941	30	15	0.19405541811103	0.577814701752277
Feed.Type	seq36	EWOS	-0.00454646307339929	0.00361807987190397	30	7	0.22207940224075	0.577814701752277
Sex	seq36	M	-0.00526084485781395	0.00410060358033214	30	7	0.212863498992828	0.577814701752277
Size.class	seq36	.Q	0.00331095174749006	0.00256915691586665	30	7	0.210879524878276	0.577814701752277
Size.class	seq38	.L	0.00513636204168805	0.00415641351970099	30	5	0.229578162749789	0.577814701752277
Cestode.index	seq43	.Q	-0.00390451826225009	0.00302976608647963	30	7	0.210883440478354	0.577814701752277
Cestode.index	seq52	.Q	-0.00417713931550612	0.00323141384900366	30	7	0.209538515196329	0.577814701752277
Cestode.index	seq52	.C	-0.00303346191632975	0.0023977254637597	30	7	0.219057361842413	0.577814701752277
Cestode.index	seq64	.Q	0.000810667723539899	0.000586463201705771	30	4	0.180753710648613	0.577814701752277
Cestode.index	seq69	.C	-0.0024621665851341	0.0019340941743247	30	4	0.216294703372493	0.577814701752277
Size.class	seq74	.Q	-0.00166132686207001	0.00126261028777214	30	5	0.201792647612837	0.577814701752277
Cestode.index	seq75	.C	-0.00237247661240324	0.00171179492028429	30	4	0.179648724151547	0.577814701752277
Size.class	seq86	.Q	-0.00140116044032764	0.000988295681038914	30	4	0.170271508777565	0.577814701752277
Size.class	seq79	.L	0.00275995709647596	0.00219739862052876	30	7	0.234108833935342	0.582670875572406
Cestode.index	seq7	.Q	-0.00471668288586358	0.00390910916547937	30	10	0.240405907834253	0.591768388515085
Cestode.index	seq29	.L	0.00136865050331946	0.00113013146662707	30	14	0.2434972570122	0.5928628866384
Cestode.index	seq41	.Q	-0.00614681658101378	0.00521567147525075	30	10	0.251176381474851	0.604983972584587
Size.class	seq1	.L	0.0913704426894302	0.0771676899448336	30	21	0.260979132187861	0.621907719256179
Size.class	seq8	.Q	0.0672108180417652	0.0600770678016103	30	13	0.275316758335926	0.63926199606859
Size.class	seq84	.L	0.00210478428758495	0.00181942967574127	30	4	0.274855267936918	0.63926199606859
Cestode.index	seq86	.C	-0.00126618584802592	0.00113544796059974	30	4	0.276823275083273	0.63926199606859
Sex	seq2	M	0.126218137794548	0.114105680032058	30	29	0.280610706678993	0.641395900980554
Cestode.index	seq5	.Q	-0.0157271776753207	0.0147488564550363	30	12	0.297836551206734	0.661911823155052
Size.class	seq10	.Q	-0.00295388069757149	0.0027802370541016	30	5	0.299552687004354	0.661911823155052
Feed.Type	seq26	EWOS	0.00108594560212161	0.00101437479981673	30	16	0.295973902539829	0.661911823155052
Cestode.index	seq36	.C	0.00312374019258015	0.00295169151960165	30	7	0.301406276615247	0.661911823155052
Cestode.index	seq20	.Q	0.00739482407969726	0.00708620740395392	30	10	0.308024845691092	0.666221254149109
Size.class	seq49	.L	-0.00166818612366235	0.00143701463752172	30	4	0.309317010854944	0.666221254149109
Cestode.index	seq5	.C	0.0111530683563574	0.0109437262870185	30	12	0.319218941215367	0.681000407926116
Sex	seq10	M	-0.00441788912641792	0.00443750630715186	30	5	0.330279564297189	0.697949267948777
Size.class	seq52	.L	-0.00243312213686564	0.00246918090998679	30	7	0.335143372790428	0.701608556122018
Cestode.index	seq19	.Q	0.0165842683189143	0.0170173956315752	30	13	0.340379199285096	0.70597167259131
Cestode.index	seq43	.C	0.0021721175686347	0.00224810180132998	30	7	0.344445810383703	0.70785194060504
Size.class	seq64	.Q	0.000352463457610195	0.000378762786943187	30	4	0.36217817385482	0.737526463122543
Feed.Type	seq52	EWOS	0.00266353919707203	0.00293904772269406	30	7	0.374617943320131	0.755985759492877
Feed.Type	seq2	EWOS	-0.0884624073030475	0.100678706465077	30	29	0.389081455202559	0.762930565995697
Feed.Type	seq20	EWOS	-0.00563149750130626	0.00644507410883011	30	10	0.391683103078148	0.762930565995697
Sex	seq20	M	-0.00649484919975133	0.00730461872094241	30	10	0.383545746673739	0.762930565995697
Cestode.index	seq26	.C	-0.000732051341293128	0.000827544332994795	30	16	0.385934869986694	0.762930565995697
Size.class	seq10	.L	0.00282651435538762	0.00328939190617728	30	5	0.399451618953469	0.766020013942988
Size.class	seq20	.Q	-0.00392699662539623	0.0045765730183453	30	10	0.400108667997007	0.766020013942988
Cestode.index	seq16	.Q	0.00916611419302451	0.0108124881663869	30	14	0.405714924932658	0.770170704956909
Size.class	seq74	.L	-0.00125568338762419	0.00149383666947633	30	5	0.409628620736458	0.771065639033332
Size.class	seq14	.L	-0.0078418308912016	0.00940411478876849	30	17	0.413315696932653	0.771522634274286
Size.class	seq32	.L	-0.00494690972111471	0.00607288475126797	30	15	0.4240377192126	0.781689315191762
Feed.Type	seq74	EWOS	0.00144302626639228	0.00177810270755932	30	5	0.425741502024085	0.781689315191762
Size.class	seq5	.L	0.00863489944946116	0.0112698640609403	30	12	0.451704385117011	0.79048267395477
Cestode.index	seq16	.C	-0.00629273771748102	0.00802292105393428	30	14	0.441201865368216	0.79048267395477
Size.class	seq49	.Q	-0.000925350205802224	0.00120071463146975	30	4	0.449944246287248	0.79048267395477
Cestode.index	seq64	.C	0.000335958554687559	0.000435158669856396	30	4	0.448307053729232	0.79048267395477
Size.class	seq66	.L	-0.00107166175769182	0.00137842890679748	30	5	0.44517273467388	0.79048267395477
Size.class	seq79	.Q	0.0013363954380297	0.00171940277994583	30	7	0.445365875384124	0.79048267395477
Size.class	seq2	.Q	0.0541982962719005	0.0714907918434496	30	29	0.456426650617965	0.792554804173831
Feed.Type	seq6	EWOS	0.0552980096399184	0.0736930172230747	30	24	0.460974613928643	0.793561529023539
Sex	seq64	M	-0.000450448071843536	0.000604539189741116	30	4	0.464091787062874	0.793561529023539
Feed.Type	seq14	EWOS	0.00823763459495059	0.0111936480806631	30	17	0.46955349515932	0.796098941979393
Cestode.index	seq41	.L	-0.00384374526683969	0.00526048779169407	30	10	0.472683746800264	0.796098941979393
Size.class	seq1	.Q	0.0402701383891951	0.0604776807016024	30	21	0.512486760788179	0.799155789759476
Cestode.index	seq2	.Q	-0.0734737058912852	0.110693869942612	30	29	0.51374300770252	0.799155789759476
Size.class	seq2	.L	-0.0566295984407032	0.0845831587306995	30	29	0.510133925278953	0.799155789759476
Cestode.index	seq10	.C	0.00224379013892228	0.00319420043376592	30	5	0.489760402174382	0.799155789759476
Sex	seq19	M	-0.0121410134719652	0.017541906357797	30	13	0.496105873905824	0.799155789759476
Size.class	seq20	.L	0.00375109949662133	0.00541469736271785	30	10	0.495707115170156	0.799155789759476
Size.class	seq29	.Q	-0.000491197708556715	0.000720415886694936	30	14	0.503041546031172	0.799155789759476
Sex	seq38	M	-0.00383530164757437	0.00560714920413328	30	5	0.501115888585064	0.799155789759476
Size.class	seq41	.L	-0.00266913313384024	0.00398538752423265	30	10	0.509998807766322	0.799155789759476
Feed.Type	seq44	EWOS	-0.0016178863706353	0.00238225670924797	30	4	0.504131991565909	0.799155789759476
Size.class	seq84	.Q	0.00101332001041152	0.00143762679395963	30	4	0.488419919177578	0.799155789759476
Feed.Type	seq41	EWOS	0.00311070339626372	0.0047437772095897	30	10	0.518788357187532	0.801438565586256
Cestode.index	seq3	.C	-0.0312820277456218	0.0502878429496765	30	28	0.540296725301235	0.80462877824676
Cestode.index	seq7	.C	-0.00181344751936337	0.00290057882545013	30	10	0.538270152904154	0.80462877824676
Cestode.index	seq8	.Q	-0.0580225735182295	0.0930212543221989	30	13	0.539202068598486	0.80462877824676
Cestode.index	seq32	.L	-0.00491005366484926	0.0080158669389525	30	15	0.546459381421763	0.80462877824676
Feed.Type	seq38	EWOS	-0.00300664394028162	0.00494734818345787	30	5	0.549590192284617	0.80462877824676
Feed.Type	seq43	EWOS	-0.00171817737820032	0.00275564428849285	30	7	0.539359454933528	0.80462877824676
Feed.Type	seq66	EWOS	0.00100769794196865	0.00164073370364769	30	5	0.545399126259873	0.80462877824676
Size.class	seq75	.L	-0.00112360525589073	0.00176280871303369	30	4	0.530445804248519	0.80462877824676
Size.class	seq7	.Q	0.00146227418003224	0.00252466834692375	30	10	0.568341685436465	0.805750237580812
Feed.Type	seq25	EWOS	0.00869562477755203	0.0149423453988222	30	6	0.566519945625352	0.805750237580812
Size.class	seq43	.L	0.00135364215280166	0.00231509826101893	30	7	0.564697132578901	0.805750237580812
Size.class	seq44	.L	-0.00118203781590453	0.00200140431328931	30	4	0.560804474848766	0.805750237580812
Size.class	seq56	.L	-0.00125625237893737	0.00210809195606865	30	9	0.557311170388602	0.805750237580812
Cestode.index	seq49	.Q	0.00105693175534808	0.00186312866013044	30	4	0.578710292878685	0.810194410030159
Feed.Type	seq64	EWOS	-0.000302840862183177	0.000533402225143234	30	4	0.575951473588309	0.810194410030159
Sex	seq7	M	-0.00223195629991854	0.0040295958563724	30	10	0.585240005887084	0.814246964712465
Size.class	seq6	.L	-0.0323664606440348	0.0619116831351584	30	24	0.606349774351423	0.816554796144618
Cestode.index	seq10	.L	-0.00226823497652365	0.0043418126491663	30	5	0.606601529125617	0.816554796144618
Cestode.index	seq14	.L	-0.00674348621345391	0.0124129035726661	30	17	0.592410458055546	0.816554796144618
Feed.Type	seq32	EWOS	0.00375340820750235	0.00722850967549927	30	15	0.608770763197104	0.816554796144618
Cestode.index	seq84	.L	0.00119023577138068	0.00227671592563512	30	4	0.606971261374751	0.816554796144618
Feed.Type	seq86	EWOS	0.000737137878179593	0.00139179226032223	30	4	0.601671503065436	0.816554796144618
Cestode.index	seq1	.L	0.0465902768659562	0.0959488774090954	30	21	0.632488347934358	0.830766554484258
Cestode.index	seq3	.Q	0.0310417257264516	0.0677729100350379	30	28	0.651425982531709	0.830766554484258
Sex	seq3	M	-0.0307848542619457	0.0698618088906706	30	28	0.663763429798731	0.830766554484258
Cestode.index	seq6	.C	0.0254173465442403	0.0601200254533742	30	24	0.676561951915905	0.830766554484258
Cestode.index	seq7	.L	-0.00180875649046627	0.00394269868011865	30	10	0.650905881490129	0.830766554484258
Cestode.index	seq19	.C	-0.00547427656123682	0.0126269938606848	30	13	0.668845657181276	0.830766554484258
Size.class	seq19	.L	0.00546117766412992	0.013003295274028	30	13	0.678570416295039	0.830766554484258
Size.class	seq26	.Q	-0.000311559293972339	0.000720295881931036	30	16	0.669556950507979	0.830766554484258
Size.class	seq36	.L	0.00132982550595041	0.00303965589994698	30	7	0.666019306258868	0.830766554484258
Cestode.index	seq52	.L	-0.00157686637015022	0.00325918018097136	30	7	0.633292537326181	0.830766554484258
Cestode.index	seq56	.L	-0.00129684088117494	0.00278256303339104	30	9	0.64575417828389	0.830766554484258
Cestode.index	seq66	.L	-0.000763795309555101	0.00181944877175338	30	5	0.67870660477955	0.830766554484258
Feed.Type	seq75	EWOS	0.00101955171891054	0.00209825813598025	30	4	0.63183989351039	0.830766554484258
Cestode.index	seq79	.L	0.00116955979081612	0.00272882509419465	30	7	0.672724981415832	0.830766554484258
Sex	seq84	M	0.000993761889906469	0.00230600533937044	30	4	0.670881013960886	0.830766554484258
Size.class	seq86	.L	-0.000526221682621426	0.00116928583817104	30	4	0.657087122436285	0.830766554484258
Cestode.index	seq1	.C	-0.0260276747260802	0.0693976762831496	30	21	0.711239599600177	0.834637941818564
Sex	seq1	M	0.039678355080598	0.0970710815695453	30	21	0.686785044982791	0.834637941818564
Sex	seq5	M	-0.00559010612950295	0.0152034461923648	30	12	0.716620498475889	0.834637941818564
Sex	seq6	M	0.031500202629121	0.0835210556342405	30	24	0.709673671722009	0.834637941818564
Feed.Type	seq8	EWOS	0.0316724187451891	0.0846050423909952	30	13	0.711723405659552	0.834637941818564
Size.class	seq25	.L	-0.00481356070121102	0.0125535062681394	30	6	0.705071326699057	0.834637941818564
Cestode.index	seq38	.Q	-0.00200645180197531	0.00543949297332761	30	5	0.715752669803202	0.834637941818564
Size.class	seq38	.Q	-0.00127972040532194	0.003513055059794	30	5	0.719130012370459	0.834637941818564
Size.class	seq69	.L	-0.000742685600240798	0.00199173278406565	30	4	0.712803161022986	0.834637941818564
Cestode.index	seq79	.Q	0.00100302422873438	0.00270294828103868	30	7	0.714390236583009	0.834637941818564
Feed.Type	seq69	EWOS	0.000826576870545143	0.00237074475974892	30	4	0.730661384545302	0.838854304589716
Sex	seq79	M	0.000952024074268713	0.0027601166905777	30	7	0.733516006486297	0.838854304589716
Cestode.index	seq84	.Q	0.000777313429037965	0.00225541511316494	30	4	0.733997516516001	0.838854304589716
Cestode.index	seq2	.C	-0.0255624013022373	0.0821354128705425	30	29	0.758561242664505	0.839560377130456
Cestode.index	seq8	.L	-0.0314440938914689	0.0938205512084082	30	13	0.740685582790398	0.839560377130456
Sex	seq8	M	-0.0302055571438845	0.0958883584734402	30	13	0.755724284999296	0.839560377130456
Feed.Type	seq19	EWOS	-0.00476977690646686	0.0154777259163465	30	13	0.760851591774476	0.839560377130456
Cestode.index	seq29	.Q	-0.000373842667431945	0.00112019606287469	30	14	0.742851443511039	0.839560377130456
Feed.Type	seq29	EWOS	0.00141411499111664	0.00118530019734784	30	14	0.746008901005924	0.839560377130456
Feed.Type	seq56	EWOS	0.000781749198742625	0.00250924621912226	30	9	0.758317675516513	0.839560377130456
Size.class	seq64	.L	-0.000135110029519433	0.000448126983954132	30	4	0.765865121195347	0.840949936998812
Cestode.index	seq25	.L	-0.00456719120884508	0.0165699235180944	30	6	0.7854035861482	0.856617147160169
Cestode.index	seq84	.C	-0.000449661631856997	0.00164989915288713	30	4	0.787781840691941	0.856617147160169
Feed.Type	seq49	EWOS	0.00179760586631275	0.00183170190736146	30	4	0.796482025354359	0.861893592653993
Cestode.index	seq1	.Q	0.0229595746174621	0.0950410075177358	30	21	0.811526715220733	0.86810003308746
Cestode.index	seq26	.Q	0.000273970437340127	0.00111528123578867	30	16	0.808229259861287	0.86810003308746
Cestode.index	seq38	.C	-0.000954456766181147	0.00403613137206518	30	5	0.815249569768566	0.86810003308746
Cestode.index	seq43	.L	0.000712783722238115	0.00305579973455835	30	7	0.817719227595777	0.86810003308746
Cestode.index	seq49	.L	-0.000405619129865272	0.00187939923886694	30	4	0.832020024404959	0.877758098248752
Cestode.index	seq74	.L	-0.000394505250360936	0.00197178053947922	30	5	0.843259332512935	0.877758098248752
Cestode.index	seq79	.C	-0.00038672554762684	0.00197294670530845	30	7	0.846409594739868	0.877758098248752
Feed.Type	seq79	EWOS	0.0013645672469332	0.00421846515467749	30	7	0.845062999780015	0.877758098248752
Feed.Type	seq84	EWOS	0.00117929152422993	0.00326022657175632	30	4	0.837299534145217	0.877758098248752
Feed.Type	seq1	EWOS	0.0456835372103305	0.146433797493749	30	21	0.851186174778947	0.878643793320203
Sex	seq43	M	-0.000434658145280022	0.00312314963615471	30	7	0.890579606022094	0.915090971325455
Cestode.index	seq38	.L	0.000621522990486759	0.00548623250428554	30	5	0.910829863957863	0.927707507388013
Cestode.index	seq75	.L	-0.000262674168773099	0.00232680853684138	30	4	0.911141301898941	0.927707507388013
Cestode.index	seq5	.L	0.00113500122950674	0.0148755878684703	30	12	0.939870379488128	0.951566336170532
Cestode.index	seq69	.L	0.000189895283839676	0.00262897545876961	30	4	0.94307020816901	0.951566336170532
Cestode.index	seq86	.L	0.000101256235158389	0.0015433916624918	30	4	0.948283797649739	0.952536191361173
Cestode.index	seq49	.C	-2.25765686763284e-05	0.00137925522003131	30	4	0.987100561481179	0.987100561481179
